"Name";"global_id";"Razdel";"Prazdel";"Kod";"Nomdescr";"Idx";
"Производство резисторов, включая реостаты и потенциометры";"273129648";"D";"DL";"32.10.2";"Эта группировка включает:^ - производство полупроводниковых  резисторов: терморезисторов,  магниторезисторов, тензорезисторов,  варисторов и пр.^ - производство наборов резисторов^ Эта  группировка не включает:^ - производство варисторных диодов,  фоторезисторов, см. 32.10.51^ - производство нагревательных  резисторов (нагревателей сопротивления), см.  29.71, 31.62.1";"1374";
"Производство печатных схем (плат)";"273129650";"D";"DL";"32.10.3";"";"1376";
"Производство электровакуумных приборов";"273129652";"D";"DL";"32.10.4";"Эта группировка включает:^ - производство электронно-лучевых  приборов с термоэлектронным катодом,  холодным катодом,  фотокатодом, газоразрядных и газонаполненных^ - производство  приемных телевизионных трубок (кинескопов)^ - производство  передающих телевизионных и прочих трубок^ - производство  электронно-оптических преобразователей, усилителей изображения,  фотоэлектронных приборов^ - производство СВЧ-приборов^ -  производство приемно-усилительных ламп, приемных  электронно-лучевых  приборови т.п.^ Эта группировка не  включает:^ - производство рентгеновских трубок и приборов всех  видов, см. 33.10.1";"1377";
"Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и  внутренних морских водах сельскохозяйственными товаропроизводителями";"273129655";"B";"BA";"05.01.11";"";"138";
"Производство полупроводниковых элементов, приборов, включая  фоточувствительные и оптоэлектронные; смонтированных пьезоэлектрических  кристаллов";"273129656";"D";"DL";"32.10.5";"";"1380";
"Производство полупроводниковых приборов";"273129658";"D";"DL";"32.10.51";"Эта группировка включает:^- производство диодов, транзисторов и аналогичных полупроводниковых приборов^- производство фоточувствительных полупроводниковых приборов^- производство солнечных элементов и батарей^Эта группировка не включает:^- производство терморезисторов, тензорезисторов, магниторезисторов, варисторов и прочих нелинейных резисторов, см. 32.10.2^- производство полупроводниковых интегральных схем, см. 32.10.6";"1381";
"Производство смонтированных пьезоэлектрических кристаллов, включая  резонаторы, фильтры и прочие устройства";"273129659";"D";"DL";"32.10.52";"";"1383";
"Производство интегральных схем, микросборок и микромодулей";"273129661";"D";"DL";"32.10.6";"";"1384";
"Производство частей электровакуумных приборов и прочих электро- и  радиоэлементов, не включенных в другие группировки";"273129663";"D";"DL";"32.10.7";"Эта группировка включает:^ - производство комплектующих электро-  и радиоэлементов, не включенных в  группировки 32.10.1 - 32.10.5,  представленных в микросборках, блоках, и пр., в том  числе  производство герконов, отклоняющих катушек (устройств) для  катодно- лучевых трубок и др.^ - производство деталей, узлов и  прочих частей конденсаторов, резисторов,  электровакуумных  приборов, полупроводников, смонтированных  пьезоэлектрических  кристаллов, интегральных схем; включая производство  корпусов,  каркасов, выводов и рамок, кожухов, баллонов (кроме стеклянных,  см.  26.15.3), держателей, пластин, кристаллов, контактов,  электродов и пр.^ Эта группировка не включает:^ - выращивание  пьезокварца и других драгоценных и полудрагоценных камней,см.  24.13";"1385";
"Производство телевизионной и радиопередающей аппаратуры, аппаратуры электросвязи";"273129664";"D";"DL";"32.2";"";"1389";
"Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и  внутренних морских водах несельскохозяйственными товаропроизводителями";"273129666";"B";"BA";"05.01.12";"";"139";
"Производство телевизионной и радиопередающей аппаратуры, аппаратуры электросвязи";"273129668";"D";"DL";"32.20";"";"1390";
"Производство радио- и телевизионной передающей аппаратуры";"273129669";"D";"DL";"32.20.1";"Эта группировка включает:^- производство передающей аппаратуры для радиосвязи, радиовещания и телевидения, включая приемопередатчики^- производство стационарных передатчиков и приемопередатчиков, в том числе радиокомплексов специального назначения, ретрансляторов, радиотелефонных устройств для транспортных средств, радиотелефонов и т.п.^- производство мобильной (различного базирования) приемопередающей радиоаппаратуры всех типов, в том числе специального назначения^- производство телевизионных камер";"1391";
"Производство аппаратуры электросвязи";"273129671";"D";"DL";"32.20.2";"Эта группировка включает:^- производство телефонных аппаратов и видеофонов^- производство факсимильных аппаратов^- производство автоматических телефонных станций^- производство коммутаторов для телефонной и телеграфной связи, телетайпов и т.п.^- производство прочих аппаратов и устройств для систем проводной связи на несущей частоте или для плезиохронных цифровых проводных систем связи";"1394";
"Производство частей радио- и телевизионной аппаратуры, аппаратуры электросвязи";"273129673";"D";"DL";"32.20.3";"";"1396";
"Производство аппаратуры для передачи данных";"273129675";"D";"DL";"32.20.4";"";"1397";
"Предоставление услуг по монтажу, ремонту и техническому обслуживанию телевизионной и радиопередающей аппаратуры, аппаратуры электросвязи, аппаратуры для передачи данных";"273129677";"D";"DL";"32.20.9";"";"1398";
