"Name";"global_id";"Nomdescr";"Razdel";"Kod";"Idx";
"Производство изделий из асфальта или аналогичных материалов";"273480602";"";"C";"23.99.2";"C.23.99.2";
"Производство битуминозных смесей на основе природного асфальта или битума, нефтяного битума, минеральных смол или их пеков";"273480604";"";"C";"23.99.3";"C.23.99.3";
"Производство искусственного графита, коллоидного или полуколлоидного графита, продуктов на основе графита или прочих форм углерода в виде полуфабрикатов";"273480606";"";"C";"23.99.4";"C.23.99.4";
"Производство искусственного корунда";"273480608";"";"C";"23.99.5";"C.23.99.5";
"Производство минеральных тепло- и звукоизоляционных материалов и изделий";"273480610";"";"C";"23.99.6";"C.23.99.6";
"Производство минеральных теплоизоляционных материалов и изделий";"273480612";"";"C";"23.99.61";"C.23.99.61";
"Производство минеральных звукоизоляционных материалов и изделий";"273480614";"";"C";"23.99.62";"C.23.99.62";
"Производство металлургическое";"273480615";"Эта группировка включает:^- деятельность по плавке и/или рафинированию черных и цветных металлов из руды, чушек или лома с использованием методов электрометаллургии и прочих металлургических процессов^Эта группировка также включает:^- производство сплавов металлов, включая сплавы со специальными свойствами (например, сверхпрочные сплавы), путем добавления в исходный чистый металл прочих химических элементов^Продукция плавки и рафинирования, обычно в форме слитков, используется для прокатки, волочения и прессования при производстве листа, полосы, сортового проката, прутков, проволоки и труб или в жидкой форме для производства отливок и прочей металлопродукции";"C";"24";"C.24";
"Производство чугуна, стали и ферросплавов";"273480617";"Эта группировка включает:^- производство чугуна в чушках в жидкой или твердой форме;^- преобразование чугуна в сталь;^- производство ферросплавов и стального проката";"C";"24.1";"C.24.1";
"Производство чугуна, стали и ферросплавов";"273480619";"Эта группировка включает:^- работу доменных печей, сталеплавильных конвертеров, прокатных станов и конечную обработку;^- производство литейного и зеркального чугуна в чушках, блоках или других первичных формах;^- производство ферросплавов;^- производство стальных изделий;^- производство слитков, прочих первичных форм и полуфабрикатов из нержавеющей стали или прочей легированной стали;^- производство чистого железа путем электролиза или с помощью химических процессов;^- переплав лома железа и стали;^- производство железа в гранулах или железного порошка;^- производство стали в слитках или прочих первичных формах;^- производство полуобработанных стальных продуктов;^- производство горячекатаного и холоднокатаного проката стали;^- производство горячекатаных болванок и прутов из стали;^- производство шпунтовых свай и сварных открытых сечений;^- производство материалов для железнодорожных путей (рельсы без сборки) из стали^Эта группировка не включает:^- производство прутков и профилей методом холодного волочения, см. 24.31";"C";"24.10";"C.24.10";
"Производство основных продуктов из железа и стали";"273480621";"";"C";"24.10.1";"C.24.10.1";
"Производство чугуна";"273480623";"";"C";"24.10.11";"C.24.10.11";
"Производство ферросплавов";"273480625";"";"C";"24.10.12";"C.24.10.12";
"Производство продуктов прямого восстановления железной руды и губчатого железа";"273480626";"";"C";"24.10.13";"C.24.10.13";
"Производство гранул и порошков из чугуна или стали";"273480628";"";"C";"24.10.14";"C.24.10.14";
"Производство стали в слитках";"273480630";"";"C";"24.10.2";"C.24.10.2";
"Производство листового горячекатаного стального проката";"273480632";"";"C";"24.10.3";"C.24.10.3";
"Производство листового холоднокатаного стального проката";"273480634";"";"C";"24.10.4";"C.24.10.4";
"Производство листового холоднокатаного стального проката, плакированного, с гальваническим или иным покрытием";"273480635";"";"C";"24.10.5";"C.24.10.5";
"Производство сортового горячекатаного проката и катанки";"273480637";"";"C";"24.10.6";"C.24.10.6";
"Производство незамкнутых стальных профилей горячей обработки, листового проката в пакетах и стального рельсового профиля для железных дорог и трамвайных путей";"273480639";"";"C";"24.10.7";"C.24.10.7";
"Производство прочего проката из черных металлов, не включенного в другие группировки";"273480641";"";"C";"24.10.9";"C.24.10.9";
"Производство стальных труб, полых профилей и фитингов";"273480642";"";"C";"24.2";"C.24.2";
"Производство стальных труб, полых профилей и фитингов";"273480644";"Эта группировка включает:^- производство бесшовных труб и патрубков круглого или некруглого поперечного сечения и заготовок круглого поперечного сечения, для дальнейшей обработки посредством горячей прокатки, горячей прессовки, прочих процессов горячей обработки промежуточного полуфабриката, которым может быть прут или заготовка, полученные горячей прокаткой или непрерывной отливкой;^- производство точных и неточных бесшовных труб и патрубков, полученных посредством горячей прокатки или горячей прессовки при дальнейшей обработке холодным волочением или холодной обточкой труб и патрубков круглого поперечного сечения, и посредством холодного волочения только для труб и патрубков некруглого поперечного сечения и полых профилей;^- производство сварных труб и патрубков с внешним диаметром свыше 406,4 мм посредством холодной формовки из горячекатаных плоских заготовок и сварки продольно или спирально;^- производство сварных труб и патрубков круглого поперечного сечения с внешним диаметром 406,4 мм или менее посредством непрерывной холодной или горячей формовки из плоских заготовок, полученных путем горячего или холодного проката и сваренных продольно или спирально, и деталей некруглого поперечного сечения, сформованных горячей или холодной штамповкой из продольно сваренных полос, полученных горячей или холодной прокаткой;^- производство сварных труб и патрубков круглого поперечного сечения с внешним диаметром 406,4 мм или меньше посредством горячей или холодной штамповки полосы, полученной горячей или холодной прокаткой и сваренной продольно, доставленной в форме, получившейся после сварки, или далее обработанной посредством холодного волочения или холодной прокатки, либо сформованной в холодном состоянии в форму для трубы и патрубка некруглого поперечного сечения;^- производство плоских фланцев и фланцев с коваными хомутами посредством обработки горячекатаных плоских прокатов стали;^- производство сваренных встык приспособлений, таких как колена и переходные муфты, посредством поковки бесшовных труб из горячекатаных плоских прокатов стали;^- производство имеющих резьбу приспособлений, а также прочих стальных приспособлений для труб и патрубков";"C";"24.20";"C.24.20";
"Производство бесшовных труб и пустотелых профилей";"273480646";"";"C";"24.20.1";"C.24.20.1";
"Производство сварных труб";"273480648";"";"C";"24.20.2";"C.24.20.2";
"Производство стальных фитингов для труб, кроме литых";"273480650";"";"C";"24.20.3";"C.24.20.3";
"Производство прочих стальных изделий первичной обработкой";"273480652";"Эта группировка включает:^- производство прочих стальных изделий методом холодной обработки";"C";"24.3";"C.24.3";
"Производство стальных прутков и сплошных профилей методом холодного волочения";"273480654";"Эта группировка включает:^- производство стальных прутков и сплошных профилей методом холодного волочения, измельчения или обточки^Эта группировка не включает:^- волочение проволоки, см. 24.34";"C";"24.31";"C.24.31";
"Производство холоднотянутого штрипса";"273480655";"Эта группировка включает:^- производство плоского стального проката с покрытием или без покрытия, в рулонах или в виде прямой ленты шириной менее 600 мм путем вторичной холодной прокатки горячекатаного плоского проката";"C";"24.32";"C.24.32";
"Производство профилей с помощью холодной штамповки или гибки";"273480657";"Эта группировка включает:^- производство гнутых профилей на роликогибочных машинах с перфорацией, а также оцинкованного профилированного настила;^- производство холодноформованных, гофрированных листов и сэндвич-панелей";"C";"24.33";"C.24.33";
"Производство проволоки методом холодного волочения";"273480658";"Эта группировка включает:^- производство стальной проволоки посредством протяжки и холодного волочения стальной катанки^Эта группировка не включает:^- волочение стальных прутков и профилей со сплошным сечением, см. 24.31;^- производство производных проволочных изделий, см. 25.93";"C";"24.34";"C.24.34";
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива";"273480660";"";"C";"24.4";"C.24.4";
"Производство драгоценных металлов";"273480662";"Эта группировка включает:^- производство основных драгоценных металлов: производство и очистку катаного и некатаного драгоценного металла: золота, серебра, платины и т. д. из руды и отходов;^- производство сплавов драгоценных металлов;^- производство полуфабрикатов драгоценных металлов;^- производство серебра, накатанного на металлическую основу;^- производство золота, накатанного на металлическую основу;^- покрытие золота, серебра или основных металлов платиной или металлами платиновой группы^Эта группировка также включает:^- производство проволоки из драгоценных металлов протягиванием;^- производство фольги из драгоценных металлов";"C";"24.41";"C.24.41";
"Производство алюминия";"273480664";"Эта группировка включает:^- производство алюминия из глинозема;^- производство алюминия путем электролитической очистки алюминиевого лома и отходов;^- производство алюминиевых сплавов;^- производство полуфабрикатов из алюминия^Эта группировка также включает:^- производство проволоки из алюминия протягиванием;^- производство алюминиевой оберточной фольги;^- производство фольги из алюминия как первичного компонента;^- производство оксида алюминия (глинозема)";"C";"24.42";"C.24.42";
"Производство свинца, цинка и олова";"273480665";"Эта группировка включает:^- производство свинца, цинка и олова из руд;^- производство свинца, цинка и олова методом электролитического рафинирования отходов и лома свинца, цинка и олова;^- производство сплавов свинца, цинка и олова;^- производство полуфабрикатов из свинца, цинка и олова^Эта группировка также включает:^- производство проволоки из свинца, цинка и олова протягиванием;^- производство оловянной фольги";"C";"24.43";"C.24.43";
"Производство свинца";"273480667";"";"C";"24.43.1";"C.24.43.1";
"Производство цинка";"273480669";"";"C";"24.43.2";"C.24.43.2";
"Производство олова";"273480671";"";"C";"24.43.3";"C.24.43.3";
"Производство меди";"273480673";"Эта группировка включает:^- производство меди из руды;^- производство меди путем электролитической очистки медной стружки и металлолома;^- производство медных сплавов;^- производство проволоки и полос для предохранителей;^- производство полуфабрикатов меди^Эта группировка также включает:^- производство проволоки из меди протягиванием";"C";"24.44";"C.24.44";
"Производство прочих цветных металлов";"273480675";"Эта группировка включает:^- производство хрома, марганца, никеля и т. д. из руд или окисей;^- производство хрома, марганца, никеля и т. д. путем электролиза и автоматической очистки хрома, марганца, никеля и т. д., из отходов и металлолома;^- производство сплавов хрома, марганца, никеля и т. д.;^- производство хрома, марганца, никеля и т. д.;^- производство никелевого камня^Эта группировка также включает:^- производство проволоки из хрома, никеля и других цветных металлов протягиванием, не вошедших в другие группировки";"C";"24.45";"C.24.45";
"Производство никеля";"273480677";"";"C";"24.45.1";"C.24.45.1";
"Производство титана";"273480679";"";"C";"24.45.2";"C.24.45.2";
"Производство магния";"273480681";"";"C";"24.45.3";"C.24.45.3";
"Производство вольфрама";"273480684";"";"C";"24.45.4";"C.24.45.4";
"Производство молибдена";"273480686";"";"C";"24.45.5";"C.24.45.5";
"Производство кобальта";"273480688";"";"C";"24.45.6";"C.24.45.6";
"Производство хрома";"273480689";"";"C";"24.45.7";"C.24.45.7";
"Производство марганца";"273480691";"";"C";"24.45.8";"C.24.45.8";
"Производство редких (тантал, ниобий, галлий, германий, иридий) и редкоземельных металлов";"273480692";"";"C";"24.45.9";"C.24.45.9";
"Производство ядерного топлива";"273480694";"Эта группировка включает:^- производство металлического урана из урановой смолки или других руд;^- плавку и рафинирование урана";"C";"24.46";"C.24.46";
"Литье металлов";"273480696";"Эта группировка включает:^- производство полуфабрикатов в форме отливок и различного вида литья^Эта группировка не включает:^- производство законченных литых металлических изделий, таких как котлов и радиаторов, см. 25.21; литых бытовых изделий, см. 25.99";"C";"24.5";"C.24.5";
"Литье чугуна";"273480697";"Эта группировка включает:^- деятельность чугунолитейных цехов^Эта группировка включает:^- отливку полуобработанных железных изделий;^- отливку изделий из серого чугуна;^- отливку сфероидальных изделий из серого чугуна;^- отливку изделий из ковкого чугуна;^- производство труб, полых профилей и гарнитуры из ковкого чугуна";"C";"24.51";"C.24.51";
"Литье стали";"273480699";"Эта группировка включает:^- деятельность сталелитейных заводов^Эта группировка включает:^- производство полуфабрикатов из стали;^- производство стальных брусков;^- производство бесшовных труб и стальных труб центробежным литьем;^- производство приспособлений для труб и патрубков из литой стали";"C";"24.52";"C.24.52";
"Литье легких металлов";"273480702";"Эта группировка включает:^- отливку полуобработанных изделий из алюминия, магния, титана, цинка и т. д.;^- отливку изделий из легких металлов";"C";"24.53";"C.24.53";
"Литье прочих цветных металлов";"273480704";"Эта группировка включает:^- отливку изделий из тяжелых металлов;^- отливку изделий из ценных металлов;^- отливку изделий из цветных металлов под давлением";"C";"24.54";"C.24.54";
"Производство готовых металлических изделий, кроме машин и оборудования";"273480706";"Эта группировка включает:^- производство готовых металлических изделий, в том числе изделий со специальными свойствами (например, запчастей, контейнеров и ящиков), обычно устанавливаемых неподвижно и закрепляемых, в отличие от изделий последующих группировок 26-30, в которых описывается сочетание или сборка таких металлических изделий (иногда вместе с другими материалами) в более сложные изделия с движущимися деталями, если они целиком не относятся к электрическим, электронным или оптическим приборам^Эта группировка также включает:^- производство оружия и боеприпасов";"C";"25";"C.25";
"Производство строительных металлических конструкций и изделий";"273480708";"Эта группировка включает:^- производство строительных металлических конструкций и изделий (таких как металлические каркасы или детали для строительства)";"C";"25.1";"C.25.1";
"Производство строительных металлических конструкций, изделий и их частей";"273480710";"Эта группировка включает:^- производство металлических каркасов для строительства и частей каркасов (балок, мачт, связок, соединений и т. д.);^- производство промышленных металлических каркасов (каркасов доменных печей, подъемников и погрузочно-разгрузочного оборудования и т. д.);^- производство изготовленных заводским способом металлических строительных конструкций: временных жилых строений, выставочных секций и т. д.^Эта группировка не включает:^- производство деталей для судовых паровых котлов или котлов для стационарных энергетических установок, см. 25.30;^- производство сборных креплений для железнодорожного полотна, см. 25.99;^- производство секций судов, см. 30.11";"C";"25.11";"C.25.11";
"Производство металлических дверей и окон";"273480711";"Эта группировка включает:^- производство металлических дверей, окон и их составных частей, ставен, ворот;^- производство металлических межкомнатных перегородок и металлических конструкций";"C";"25.12";"C.25.12";
"Производство металлических цистерн, резервуаров и прочих емкостей";"273480714";"Эта группировка включает:^- производство резервуаров, радиаторов центрального отопления и котлов";"C";"25.2";"C.25.2";
"Производство радиаторов и котлов центрального отопления";"273480716";"";"C";"25.21";"C.25.21";
"Производство радиаторов";"273480718";"";"C";"25.21.1";"C.25.21.1";
"Производство котлов центрального отопления";"273480720";"";"C";"25.21.2";"C.25.21.2";
"Производство прочих металлических цистерн, резервуаров и емкостей";"273480722";"Эта группировка включает:^- производство бассейнов, резервуаров и подобных металлических конструкций для хранения жидкостей или использования в производстве;^- производство металлических резервуаров для сжатого или сжиженного газа^Эта группировка не включает:^- производство металлических бочек, барабанов, канистр, ведер, ящиков и т. д., обычно используемых для переноса и упаковки товаров объемом свыше 300 л, см. 25.91, 25.92;^- производство контейнеров для перевозки грузов, см. 29.20;^- производство бронированных военных транспортных средств, см. 30.40";"C";"25.29";"C.25.29";
"Производство паровых котлов, кроме котлов центрального отопления";"273480725";"Эта группировка включает:^- производство парогенераторов";"C";"25.3";"C.25.3";
"Производство паровых котлов, кроме котлов центрального отопления";"273480727";"Эта группировка включает:^- производство паровых и газовых генераторов тепла;^- производство вспомогательных установок с паровыми генераторами: конденсаторы и нагреватели, паровые коллекторы и аккумуляторы тепла;^- производство ядерных реакторов, кроме устройств для разделения изотопов, в том числе для транспортных средств;^- производство деталей и составных частей для судовых паровых котлов или паровых котлов стационарных энергетических установок^Эта группировка также включает:^- строительство трубопроводных систем, включая дальнейшую обработку труб, как правило, с целью создания трубопроводных систем, работающих под давлением, включая сопутствующие проектно-конструкторские работы";"C";"25.30";"C.25.30";
"Производство паровых котлов и их частей";"273480729";"";"C";"25.30.1";"C.25.30.1";
"Производство ядерных установок и их составных частей, в том числе для транспортных средств";"273480731";"Эта группировка не включает:^- производство ядерных энергетических установок военного назначения и их наземных стендов-прототипов, производство комплексов, установок, стендов, испытательного и производственно-технологического оборудования для разработки, изготовления, эксплуатации и ликвидации оружия на основе ядерных оружейных технологий, ядерных энергетических установок военного назначения, наземных стендов-прототипов и их составных частей, см. 25.40";"C";"25.30.2";"C.25.30.2";
"Производство оружия и боеприпасов";"273480734";"";"C";"25.4";"C.25.4";
"Производство оружия и боеприпасов";"273480736";"Эта группировка включает:^- производство тяжелого оружия (артиллерии, передвижного оружия, ракетных пусковых установок, ракет, торпедных аппаратов, тяжелых пулеметов, реактивных систем залпового огня);^- производство оружия, создаваемого на основе ядерных оружейных технологий, и его составных частей;^- производство ядерных энергетических установок военного назначения и их наземных стендов-прототипов;^- производство комплексов, установок, стендов, испытательного и производственно-технологического оборудования для разработки, изготовления, эксплуатации и ликвидации оружия на основе ядерных оружейных технологий, ядерных энергетических установок военного назначения, наземных стендов-прототипов и их составных частей;^- производство стрелкового оружия (револьверов, дробовиков, гранатометов, малокалиберных пушек);^- производство пневматических или газовых ружей и пистолетов;^- производство военных боеприпасов^Эта группировка также включает:^- производство охотничьего, спортивного или защитного огнестрельного оружия и боеприпасов;^- производство взрывчатых устройств, таких как бомбы, шашки и торпеды^Эта группировка не включает:^- производство ядерных установок и их составных частей, в том числе для транспортных средств, см. 25.30.2";"C";"25.40";"C.25.40";
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии";"273480738";"Эта группировка включает:^- деятельность по обработке металла, такую как ковка или прессование, обычно выполняемые за вознаграждение или на договорной основе.";"C";"25.5";"C.25.5";
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии";"273480740";"Эта группировка включает:^- ковку, прессовку, штамповку и профилирование листового металла;^- порошковую металлургию: производство металлических изделий из металлических порошков путем термической обработки (спекания) или под давлением^Эта группировка не включает:^- производство металлического порошка, см. 24.1, 24.4";"C";"25.50";"C.25.50";
"Предоставление услуг по ковке, прессованию, объемной и листовой штамповке и профилированию листового металла";"273480742";"";"C";"25.50.1";"C.25.50.1";
"Предоставление услуг по производству изделий методом порошковой металлургии";"273480744";"";"C";"25.50.2";"C.25.50.2";
"Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов";"273480746";"Эта группировка включает:^- деятельность по обработке металла, такую как металлизация, нанесение покрытия, гравировка, полировка, сварка и т. д., которые обычно выполняются за вознаграждение или на договорной основе";"C";"25.6";"C.25.6";
"Обработка металлов и нанесение покрытий на металлы";"273480748";"Эта группировка включает:^- металлизацию и анодирование металлов;^- термическую обработку металлов;^- шлифовку, обработку во вращающемся барабане, пескоструйную очистку металлов;^- окраску, гравирование металлов;^- нанесение неметаллического покрытия на металлы для придания пластичности поверхности металла (эмалировку, лакировку и др.), химической стойкости и товарного вида;^- упрочнение, полирование металлов^Эта группировка не включает:^- кузнечную обработку, см. 01.62;^- печать на металле, см. 18.12;^- металлическое покрытие пластмасс, см. 22.29;^- нанесение драгоценных металлов на основу из обычных металлов или прочих металлов, см. 24.41, 24.42, 24.43, 24.44;^- предоставление услуг в присутствии заказчика, см. 95.29";"C";"25.61";"C.25.61";
"Обработка металлических изделий механическая";"273480750";"Эта группировка включает:^- сверление, точение, фрезерование, электроэрозионную обработку, строгание, притирку, доводку, протягивание, рихтовку, резку, шлифование, затачивание, сварку и т. п. обработку металлических изделий^Эта группировка не включает:^- деятельность кузнецов, см. 01.62";"C";"25.62";"C.25.62";
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий";"273480753";"Эта группировка включает:^- производство столовых приборов, металлических ручных инструментов и универсальных скобяных изделий";"C";"25.7";"C.25.7";
"Производство ножевых изделий и столовых приборов";"273480755";"Эта группировка включает:^- производство столовых приборов для домашнего обихода, таких как ножи, вилки, ложки и т. д.;^- производство прочих столовых и хозяйственных принадлежностей: щипцов и топориков, бритв и лезвий, садовых и парикмахерских ножниц;^- производство ножей, клинков, кинжалов, штыков и т. д.^Эта группировка не включает:^- производство посуды (горшков, чайников и т. д.), столовой посуды (чаш, блюд и т. д.) или столовых приборов (тарелок, блюдец и т. д.), см. 25.99;^- производство столовых приборов из драгоценных металлов, см. 32.12";"C";"25.71";"C.25.71";
"Производство замков, петель";"273480758";"Эта группировка включает:^- производство замков, ключей, стержней, шарниров и прочих скобяных изделий для мебели, транспортных средств и т.д.^Эта группировка также включает:^- производство устройств запорно-пломбировочных из металла";"C";"25.72";"C.25.72";
"Производство инструмента";"273480760";"Эта группировка включает:^- производство ножей и режущих элементов для станков или механических приборов;^- изготовление ручных инструментов, таких как плоскогубцы, отвертки и т. д.;^- производство ручных инструментов без механического привода для использования в сельском хозяйстве;^- производство пил и лезвий для пил, включая лезвия циркулярных пил и бензопил;^- производство сменных рабочих частей для инструментов как ручных, так и механизированных (ручных машин), а также станочных инструментов (включая с алмазным покрытием): сверл, резцов, пробойников, матриц, фрез, инструмента для бурения, прессования, штамповки;^- производство штампов;^- производство кузнечных инструментов: горнов, наковален и т. д.;^- производство стержневых ящиков формовки и литейных форм (кроме литейных форм в слитках);^- производство тисков и зажимов^Эта группировка не включает:^- производство ручных инструментов с механическим приводом, см. 28.24;^- производство литейных форм в слитках, см. 28.91";"C";"25.73";"C.25.73";
"Производство прочих готовых металлических изделий";"273480762";"Эта группировка включает:^- производство разнообразных металлических изделий, таких как: канистры и ведра, гвозди, болты и гайки, металлические предметы домашнего обихода, металлические крепления, судовые винты и якоря, сборные крепления для железнодорожных путей и другие разнообразные изделия для применения в домашнем хозяйстве и в промышленности";"C";"25.9";"C.25.9";
"Производство металлических бочек и аналогичных емкостей";"273480764";"Эта группировка включает:^- производство бочек вместимостью менее 300 л;^- производство ведер, бидонов, бочек, банок, барабанов, бадей и т. п.^Эта группировка не включает:^- производство резервуаров и бассейнов, см. 25.2";"C";"25.91";"C.25.91";
"Производство тары из легких металлов";"273480765";"Эта группировка включает:^- производство консервных банок для пищевых продуктов, туб, коробок, ящиков;^- производство металлических крышек и других изделий";"C";"25.92";"C.25.92";
"Производство изделий из проволоки, цепей и пружин";"273480767";"Эта группировка включает:^- производство металлического кабеля, плетеных полос и подобных изделий;^- производство неизолированного металлического кабеля или изолированного кабеля, не предназначенного в качестве проводника электричества;^- производство изолированного или полого провода;^- производство изделий из проволоки: колючей проволоки, проволочного ограждения, решеток, сеток, ткани и т. д.;^- производство электродов с покрытием для электрической дуговой сварки;^- производство гвоздей и булавок;^- производство пружин (кроме часовых пружин): пластинчатых рессор, винтовых пружин, крученых пружин, пластин для рессор;^- производство цепей, кроме приводных цепей^Эта группировка не включает:^- производство пружин для ручных и стационарных часов, см. 26.52;^- производство изолированных электротехнических проводов и кабелей, изготовленных из стали, меди и алюминия, см. 27.32;^- производство приводных цепей, см. 28.15";"C";"25.93";"C.25.93";
